,SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
0,1,01/22/2020,Anhui,China,1/22/2020 17:00,1.0,0.0,0.0,35.86166,104.195397
1,2,01/22/2020,Beijing,China,1/22/2020 17:00,14.0,0.0,0.0,35.86166,104.195397
2,3,01/22/2020,Chongqing,China,1/22/2020 17:00,6.0,0.0,0.0,35.86166,104.195397
3,4,01/22/2020,Fujian,China,1/22/2020 17:00,1.0,0.0,0.0,35.86166,104.195397
4,5,01/22/2020,Gansu,China,1/22/2020 17:00,0.0,0.0,0.0,35.86166,104.195397
5,6,01/22/2020,Guangdong,China,1/22/2020 17:00,26.0,0.0,0.0,35.86166,104.195397
6,7,01/22/2020,Guangxi,China,1/22/2020 17:00,2.0,0.0,0.0,35.86166,104.195397
7,8,01/22/2020,Guizhou,China,1/22/2020 17:00,1.0,0.0,0.0,35.86166,104.195397
8,9,01/22/2020,Hainan,China,1/22/2020 17:00,4.0,0.0,0.0,35.86166,104.195397
9,10,01/22/2020,Hebei,China,1/22/2020 17:00,1.0,0.0,0.0,35.86166,104.195397
10,11,01/22/2020,Heilongjiang,China,1/22/2020 17:00,0.0,0.0,0.0,35.86166,104.195397
11,12,01/22/2020,Henan,China,1/22/2020 17:00,5.0,0.0,0.0,35.86166,104.195397
12,13,01/22/2020,Hong Kong,Hong Kong,1/22/2020 17:00,0.0,0.0,0.0,22.396428,114.10949699999999
13,14,01/22/2020,Hubei,China,1/22/2020 17:00,444.0,17.0,28.0,35.86166,104.195397
14,15,01/22/2020,Hunan,China,1/22/2020 17:00,4.0,0.0,0.0,35.86166,104.195397
15,16,01/22/2020,Inner Mongolia,China,1/22/2020 17:00,0.0,0.0,0.0,35.86166,104.195397
16,17,01/22/2020,Jiangsu,China,1/22/2020 17:00,1.0,0.0,0.0,35.86166,104.195397
17,18,01/22/2020,Jiangxi,China,1/22/2020 17:00,2.0,0.0,0.0,35.86166,104.195397
18,19,01/22/2020,Jilin,China,1/22/2020 17:00,0.0,0.0,0.0,35.86166,104.195397
19,20,01/22/2020,Liaoning,China,1/22/2020 17:00,2.0,0.0,0.0,35.86166,104.195397
20,21,01/22/2020,Macau,Macau,1/22/2020 17:00,1.0,0.0,0.0,22.198745000000002,113.543873
21,22,01/22/2020,Ningxia,China,1/22/2020 17:00,1.0,0.0,0.0,35.86166,104.195397
22,23,01/22/2020,Qinghai,China,1/22/2020 17:00,0.0,0.0,0.0,35.86166,104.195397
23,24,01/22/2020,Shaanxi,China,1/22/2020 17:00,0.0,0.0,0.0,35.86166,104.195397
24,25,01/22/2020,Shandong,China,1/22/2020 17:00,2.0,0.0,0.0,35.86166,104.195397
25,26,01/22/2020,Shanghai,China,1/22/2020 17:00,9.0,0.0,0.0,35.86166,104.195397
26,27,01/22/2020,Shanxi,China,1/22/2020 17:00,1.0,0.0,0.0,35.86166,104.195397
27,28,01/22/2020,Sichuan,China,1/22/2020 17:00,5.0,0.0,0.0,35.86166,104.195397
28,29,01/22/2020,Taiwan,Taiwan,1/22/2020 17:00,1.0,0.0,0.0,23.69781,120.96051499999999
29,30,01/22/2020,Tianjin,China,1/22/2020 17:00,4.0,0.0,0.0,35.86166,104.195397
30,31,01/22/2020,Tibet,China,1/22/2020 17:00,0.0,0.0,0.0,35.86166,104.195397
31,32,01/22/2020,Washington,United States,1/22/2020 17:00,1.0,0.0,0.0,37.09024,-95.712891
32,33,01/22/2020,Xinjiang,China,1/22/2020 17:00,0.0,0.0,0.0,35.86166,104.195397
33,34,01/22/2020,Yunnan,China,1/22/2020 17:00,1.0,0.0,0.0,35.86166,104.195397
34,35,01/22/2020,Zhejiang,China,1/22/2020 17:00,10.0,0.0,0.0,35.86166,104.195397
35,36,01/22/2020,,Japan,1/22/2020 17:00,2.0,0.0,0.0,36.204824,138.252924
36,37,01/22/2020,,Thailand,1/22/2020 17:00,2.0,0.0,0.0,15.870032,100.992541
37,38,01/22/2020,,South Korea,1/22/2020 17:00,1.0,0.0,0.0,35.907757000000004,127.766922
38,39,01/23/2020,Anhui,China,1/23/20 17:00,9.0,0.0,0.0,35.86166,104.195397
39,40,01/23/2020,Beijing,China,1/23/20 17:00,22.0,0.0,0.0,35.86166,104.195397
