,Countries,Cases
0,Afghanistan,444
1,Albania,400
2,Algeria,1572
3,Andorra,564
4,Angola,19
5,Antigua and Barbuda,19
6,Argentina,1715
7,Armenia,881
8,Aruba,4
9,Australia,2734
10,Austria,12942
11,Azerbaijan,822
12,Bahamas,40
13,Bahrain,823
14,Bangladesh,218
15,Barbados,63
16,Belarus,1066
17,Belgium,23403
18,Belize,8
19,Benin,26
20,Bhutan,5
21,Bolivia,210
22,Bosnia and Herzegovina,804
23,Botswana,6
24,Brazil,16170
25,Brunei,135
26,Bulgaria,593
27,Burkina Faso,414
28,Burundi,3
29,Cambodia,117
30,Cameroon,730
31,Canada,10031
32,Cape Verde,1
33,Cayman Islands,1
34,Central African Republic,8
35,Chad,10
36,Chile,5546
37,China,67803
38,Colombia,2054
39,Congo [DRC],180
40,Costa Rica,502
41,Croatia,1343
42,Cuba,457
43,Cyprus,526
44,Czech Republic,5312
45,Côte d'Ivoire,384
46,Denmark,5402
47,Djibouti,135
48,Dominica,15
49,Dominican Republic,2111
50,Ecuador,4450
51,Egypt,1560
52,El Salvador,93
53,Equatorial Guinea,18
54,Eritrea,33
55,Estonia,1185
56,Ethiopia,55
57,Faroe Islands,2
58,Fiji,15
59,Finland,2487
60,France,112950
61,French Guiana,18
62,Gabon,34
63,Gambia,4
64,Gaza Strip,263
65,Georgia,211
66,Germany,113296
67,Ghana,313
68,Gibraltar,1
69,Greece,1884
70,Greenland,1
71,Grenada,12
72,Guadeloupe,53
73,Guam,3
74,Guatemala,87
75,Guernsey,1
76,Guinea,164
77,Guinea-Bissau,33
78,Guyana,37
79,Haiti,27
80,Honduras,312
81,Hong Kong,960
82,Hungary,895
83,Iceland,1616
84,India,5916
85,Indonesia,2956
86,Iran,64586
87,Iraq,1202
88,Ireland,6074
89,Israel,9404
90,Italy,139422
91,Jamaica,63
92,Japan,4257
93,Jersey,2
94,Jordan,358
95,Kazakhstan,727
96,Kenya,179
97,Kosovo,184
98,Kuwait,855
99,Kyrgyzstan,270
100,Laos,15
101,Latvia,577
102,Lebanon,576
103,Liberia,31
104,Libya,21
105,Liechtenstein,78
106,Lithuania,912
107,Luxembourg,3034
108,Macau,45
109,Macedonia [FYROM],617
110,Madagascar,93
111,Malawi,8
112,Malaysia,4119
113,Maldives,19
114,Mali,59
115,Malta,299
116,Martinique,32
117,Mauritania,6
118,Mauritius,273
119,Mayotte,7
120,Mexico,2785
121,Moldova,1174
122,Monaco,81
123,Mongolia,16
124,Montenegro,248
125,Morocco,1275
126,Mozambique,17
127,Myanmar [Burma],22
128,Namibia,16
129,Nepal,9
130,Netherlands,20549
131,New Zealand,1210
132,Nicaragua,6
133,Niger,342
134,Nigeria,276
135,Norway,6086
136,Oman,419
137,Pakistan,4263
138,Panama,2249
139,Papua New Guinea,2
140,Paraguay,119
141,Peru,4342
142,Philippines,3870
143,Poland,5205
144,Portugal,13141
145,Puerto Rico,3
146,Qatar,2210
147,Romania,4761
148,Russia,8672
149,Rwanda,110
150,Saint Kitts and Nevis,11
151,Saint Lucia,14
152,Saint Vincent and the Grenadines,8
153,San Marino,279
154,Saudi Arabia,2932
155,Senegal,244
156,Serbia,2666
157,Seychelles,11
158,Sierra Leone,7
159,Singapore,1623
160,Slovakia,682
161,Slovenia,1091
162,Somalia,12
163,South Africa,1845
164,South Korea,10384
165,Spain,148220
166,Sri Lanka,189
167,Sudan,14
168,Suriname,10
169,Sweden,8419
170,Switzerland,23280
171,Syria,19
172,Taiwan,379
173,Tanzania,25
174,Thailand,2369
175,Timor-Leste,1
176,Togo,70
177,Trinidad and Tobago,107
178,Tunisia,628
179,Turkey,38226
180,Uganda,53
181,Ukraine,1668
182,United Arab Emirates,2659
183,United Kingdom,60733
184,United States,151061
185,Uruguay,424
186,Uzbekistan,545
187,Vatican City,1
188,Venezuela,167
189,Vietnam,251
190,Western Sahara,4
191,Zambia,39
192,Zimbabwe,11
