Country/Region,Recovered,Latitude,Longitude,Average Temperature,Average Humidity
Afghanistan,135.0,33.93911,67.709953,6.216666667,56.93333333
Albania,327.0,41.153332,20.168331,13.95,69.9
Algeria,1099.0,28.033886,1.6596259999999998,19.56666667,61.71666667
Andorra,248.0,42.546245,1.6015540000000001,7.3833333329999995,75.23333333
Angola,6.0,-11.202691999999999,17.873887,,
Antigua and Barbuda,3.0,17.060816,-61.796428000000006,25.71666667,75.15
Argentina,737.0,-38.416097,-63.616671999999994,32.81666667,43.61666667
Armenia,580.0,40.069099,45.038189,7.1,58.5
Australia,1379.0,-25.274398,133.775136,25.78333333,64.23333333
Austria,10631.0,47.516231,14.550072,9.466666667,65.35
Azerbaijan,791.0,40.143105,47.576927000000005,10.16666667,68.08333333
Bahamas,11.0,25.03428,-77.39628,23.26666667,76.55
Bahrain,769.0,25.930414000000003,50.637772,20.36666667,63.51666667
Bangladesh,85.0,23.684994,90.35633100000001,30.28333333,42.35
Barbados,19.0,13.193887,-59.543198,26.9,74.95
Belarus,514.0,53.709807,27.953389,3.983333333,81.48333333
Belgium,8895.0,50.503887,4.469936,9.533333333,78.41666667
Belize,2.0,17.189877,-88.49765,,
Benin,27.0,9.30769,2.315834,35.13333333,69.0
Bhutan,2.0,27.514162,90.433601,8.866666667,73.68333333
Bolivia,31.0,-16.290154,-63.588653,20.3,70.7
Bosnia and Herzegovina,381.0,43.915886,17.679076000000002,7.966666667,81.71666667
Botswana,0.0,-22.328474,24.684866,,
Brazil,22130.0,-14.235004,-51.92528,25.81666667,81.68333333
Brunei,116.0,4.535277,114.72766899999999,29.18333333,81.75
Bulgaria,167.0,42.733883,25.48583,9.3,73.53333333
Burkina Faso,357.0,12.238333,-1.561593,37.75,10.98333333
Burundi,4.0,-3.3730559999999996,29.918885999999997,,
Cambodia,107.0,12.565679,104.990963,35.45,55.51666667
Cameroon,305.0,7.369722,12.354722,35.11666667,65.41666667
Canada,12543.0,56.130366,-106.34677099999999,-1.8666666669999998,88.58333333
